names,total,acc,f-score,kappa
c_csvs\DoS-SYN-1,0.449346216,0.582,0.495537072,0.164
c_csvs\DoS-SYN-2,0.410119951,0.646,0.597857055,0.292
c_csvs\DoS-SYN-3,0.461297771,0.572,0.4824317,0.144
c_csvs\DoS-SYN-4,0.425031612,0.666,0.626282835,0.332
c_csvs\DoS-SYN-5,0.490613511,0.54,0.416539827,0.08
c_csvs\DoS-SYN-6,0.479846397,0.524,0.396245561,0.048
c_csvs\MB-ACK-1,0.376626513,0.808,0.807923169,0.616
c_csvs\MB-ACK-2,0.379721781,0.754,0.753833592,0.508
c_csvs\MB-ACK-3,0.354205435,0.78,0.779968315,0.56
c_csvs\MB-ACK-4,0.35590739,0.75,0.749774797,0.5
c_csvs\MB-BF-1,0.355950198,0.962585034,0.925803565,0.851610535
c_csvs\MB-BF-2,0.346416771,0.949152542,0.902552357,0.805143335
c_csvs\MB-BF-3,0.449153269,0.922666667,0.914792093,0.829745597
c_csvs\MB-BF-4,0.421381732,0.946153846,0.941770766,0.883548983
c_csvs\MB-BF-5,0.444995143,0.941798942,0.936197637,0.8724931
c_csvs\MB-HDis-1,0.427112346,0.949820789,0.869277108,0.73869414
c_csvs\MB-HDis-2,0.426493747,0.927536232,0.81300813,0.627278866
c_csvs\MB-HDis-3,0.49124515,0.834983498,0.705298786,0.410780958
c_csvs\MB-HDis-4,0.424482134,0.960854093,0.909133668,0.818528738
c_csvs\MB-HDis-5,0.453776206,0.957446809,0.899667932,0.79943101
c_csvs\MB-HTTP-1,0.34370314,0.961451247,0.960819462,0.92164261
c_csvs\MB-HTTP-2,0.331036113,0.888888889,0.88809088,0.776341948
c_csvs\MB-HTTP-3,0.336660331,0.961451247,0.960819462,0.92164261
c_csvs\MB-HTTP-4,0.310560715,0.900221729,0.899430627,0.798941956
c_csvs\MB-UDP-1,0.473433659,0.738916256,0.719034811,0.438787752
c_csvs\MB-UDP-2,0.422363081,0.71,0.708572003,0.42
c_csvs\MB-UDP-3,0.466008801,0.756690998,0.745819315,0.491688928
c_csvs\MB-UDP-4,0.428037424,0.744,0.743983615,0.488
c_csvs\MitM-ARP-1,0.510312829,0.696,0.695688385,0.392
c_csvs\MitM-ARP-2,0.49940485,0.772,0.771868596,0.544
c_csvs\MitM-ARP-3,0.485991275,0.684,0.684,0.368
c_csvs\MitM-ARP-4,0.487853437,0.854,0.853831029,0.708
c_csvs\MitM-ARP-5,0.496134385,0.966,0.9659966,0.932
c_csvs\MitM-ARP-6,0.43607757,0.892,0.891790506,0.784
c_csvs\Scan-HDis-1,0.309676907,0.95821727,0.951685403,0.90344098
c_csvs\Scan-HDis-2,0.290533583,0.96996997,0.96050759,0.921030165
c_csvs\Scan-HDis-3,0.386343229,0.905913978,0.897769298,0.796384336
c_csvs\Scan-HDis-4,0.434726015,0.932432432,0.923408765,0.846849233
c_csvs\Scan-HDis-5,0.409486063,0.952777778,0.944221147,0.88844331
c_csvs\Scan-HDis-6,0.424437989,0.947204969,0.92646723,0.853094305
c_csvs\Scan-OS-1,0.482141305,0.945799458,0.939968764,0.880187025
c_csvs\Scan-OS-2,0.475144453,0.953658537,0.952054162,0.904240934
c_csvs\Scan-OS-3,0.434347169,0.94278607,0.939837197,0.87973778
c_csvs\Scan-OS-4,0.34907815,0.984496124,0.871,0.742
c_csvs\Scan-OS-5,0.471855281,0.984313725,0.746015936,0.492031873
c_csvs\Scan-OS-6,0.43052661,0.977186312,0.857683983,0.715470609
c_csvs\Scan-Port-1,0.235576866,0.978,0.977999208,0.956
c_csvs\Scan-Port-2,0.230615388,0.966,0.965998776,0.932
c_csvs\Scan-Port-3,0.249896173,0.97,0.969990277,0.94
c_csvs\Scan-Port-4,0.313187743,0.912,0.911994368,0.824
c_csvs\Scan-Port-5,0.373092196,0.802,0.801992872,0.604
c_csvs\Scan-Port-6,0.457776976,0.836,0.835958005,0.672
c_csvs\SPScan-Port-1,0.351669842,0.984,0.984,0.968
c_csvs\SPScan-Port-2,0.32815359,0.98,0.97999712,0.96
c_csvs\SPScan-Port-3,0.305540064,0.982,0.981999352,0.964
c_csvs\SPScan-Port-4,0.373165497,0.892,0.891998272,0.784
c_csvs\SPScan-Port-5,0.483316266,0.87,0.86993705,0.74
c_csvs\SPScan-Port-6,0.469136286,0.814,0.813909932,0.628
